track_id,year,key,key_confidence,time_signature,time_signature_confidence,mode,mode_confidence,end_of_fade_in,start_of_fade_out,energy,duration,danceability,tempo,loudness,top100
TRAMFJR128F92C1DB1,2000,11,0.048,4,0.792,0,0.364,0.415,259.332,0,262.08608,0,175.959,-3.825,yes
TRAMAKV128F4298063,1999,7,0.726,4,0.539,1,0.697,0.194,193.19,0,196.67546,0,101.074,-2.348,yes
TRAMTZM12903D01F9E,2002,7,0.772,4,0.093,1,0.708,0.191,190.206,0,199.57506,0,143.577,-8.176,yes
TRAMDDS128F148DEFE,2006,2,0.841,4,1,1,0.798,2.328,332.016,0,332.01587,0,94.109,-8.02,yes
TRAWCCM128F146E3E6,2005,7,0.305,4,0.589,1,0.62,0.207,456.934,0,466.41587,0,127.976,-5.05,yes
TRAWCBC128F92ECDE9,2008,7,0.044,4,0.786,1,0.473,0,176.588,0,179.98322,0,130.723,-4.854,yes
TRAWFTQ12903CAC1FA,2004,8,0.047,4,0.55,1,0.353,6.281,336.086,0,377.25995,0,97.325,-7.331,yes
TRAWFUR128F1463CCD,2001,9,0.473,3,1,0,0.52,0.258,171.781,0,178.41587,0,100.207,-5.459,yes
TRAWULX128F4291255,2003,1,0.392,4,0,1,0.547,0.659,331.5,0,349.33506,0,127.434,-10.271,yes
TRAGNBQ128F149CB93,2007,2,0.045,4,0.93,0,0.27,0,191.216,0,203.91138,0,140.878,-3.237,yes
TRAGUHD128F92DE226,2008,5,0.559,4,0.176,1,0.585,0.34,224.566,0,235.41506,0,92.501,-8.92,yes
TRAGOTQ128F42B8203,2008,3,0.288,4,0.709,1,0.386,0,145.816,0,151.77098,0,143.988,-4.054,yes
TRAGYFM128F42555B8,2003,2,0.525,4,0.8,1,0.379,0,197.306,0,219.74159,0,119.911,-6.44,yes
TRAHWDN128F14ADE27,2003,1,0.124,3,0.548,1,0.227,4.65,377.847,0,391.28771,0,73.226,-8.741,yes
TRAHCDM128F148D60C,2003,9,0.414,4,0.381,1,0.533,4.569,239.502,0,263.31383,0,163.92,-8.787,yes
TRAHBND12903CCC090,2010,8,0.537,4,0.66,1,0.552,5.01,310.811,0,325.95546,0,111.148,-7.117,yes
TRAHEEY128F9335ECD,2009,2,0.133,4,0.777,1,0.286,0.061,179.304,0,184.58077,0,168.02,-3.426,yes
TRAHOZQ128F422B9CA,2003,7,0.689,4,0.543,1,0.57,2.821,255.292,0,259.49995,0,91.812,-4.962,yes
TRAHKLC12903CC632E,2004,6,0.5,4,1,0,0.507,0.165,219.847,0,223.03302,0,107.199,-5.939,yes
TRACBYL12903CFDBC6,2009,10,0.848,4,0.12,1,0.569,0.172,160.758,0,170.23955,0,150.211,-7.185,yes
TRACAKD128F92D5D38,2009,9,0.019,4,0.394,1,0.138,0.259,218.273,0,230.63465,0,135.914,-5.953,yes
TRACNMH12903CA9CCC,2008,6,0.828,4,0.875,0,0.757,0.235,212.962,0,216.00608,0,104.971,-5.46,yes
TRACXJN128E0791F95,2003,1,0.807,4,0.509,1,0.678,1.247,225.042,0,232.28036,0,91.486,-8.966,yes
TRARFOC128F92ED401,2000,4,0.067,4,0.862,0,0.419,0,278.32,0,291.10812,0,174.731,-3.353,yes
TRARTPH128E0789C05,2005,5,0.536,4,0,1,0.555,0.183,212.927,0,223.242,0,161.795,-6.08,yes
TRARSKA128F9336A04,2009,1,0.309,5,1,1,0.409,0,461.41,0,465.47546,0,131.999,-6.278,yes
TRABRXB128F92F3F94,2003,4,0.462,5,0.85,0,0.501,0.142,222.215,0,238.49751,0,105.964,-4.185,yes
TRABQJG128F4267518,1999,5,0.091,4,0.481,1,0.33,0.798,341.664,0,347.8722,0,165.991,-5.21,yes
TRABAFJ128F42AF24E,1999,0,0.005,4,0.572,1,0.51,4.569,226.569,0,236.25098,0,112.787,-5.12,yes
TRAFWCT128F42918E5,1999,2,0.394,4,0.52,1,0.413,2.183,581.265,0,586.91873,0,157.669,-5.832,yes
TRAFWZH128F92D5266,2003,10,0.423,4,1,1,0.387,0.351,246.091,0,266.4224,0,161.963,-9.384,yes
TRAFQFM128E078EC97,2000,7,0.507,4,0.849,1,0.507,2.02,277.211,0,289.30567,0,174.69,-2.973,yes
TRAFQFV128F9326217,2009,6,0.61,4,0.984,1,0.617,0.078,236.774,0,253.25669,0,95.005,-7.567,yes
TRAFZKY128F424C628,2007,9,0.395,4,0.379,0,0.286,0,186.021,0,190.35383,0,138.976,-5.462,yes
TRAQBNZ12903CB70E9,2002,7,0.742,4,0.795,1,0.585,0.072,242.503,0,261.0673,0,193.97,-3.248,yes
TRAQIFA128F932F367,2003,0,0.579,4,0.508,0,0.643,0.241,286.766,0,295.36608,0,145.216,-9.078,yes
TRAQJHQ12903CEAFFC,2003,6,0,4,0.848,1,0,0.311,171.654,0,181.9424,0,113.009,-8.472,yes
TRAQXJV128F42AEAEC,2005,0,0.584,4,0.381,0,0.609,0.148,226.174,0,231.05261,0,100.12,-10.877,yes
TRAZMHT128F4296C31,2001,4,0.131,4,0.986,0,0.392,0.091,247.049,0,256.88771,0,193.788,-6.799,yes
TRAZWGK128F93141E3,2008,3,0.72,4,0.147,1,0.538,0.967,238.91,0,243.33016,0,86.499,-11.323,yes
TRAZWGV128F425DA7C,2007,0,0.463,4,0.463,0,0.498,2.682,216.474,0,227.57832,0,96.068,-7.695,yes
TRAZHUK128E0789114,2004,1,0,4,0.148,1,0,0.175,209.258,0,211.66975,0,90.069,-10.87,yes
TRAZCCG128F1463460,2003,6,0.12,4,1,1,0.409,0.171,212.3,0,224.26077,0,106.478,-5.54,yes
TRAZFNU128F427FD44,2003,9,0.16,4,0.872,1,0.202,0.758,217.13,0,234.94485,0,88.872,-6.056,yes
TRAZASM128F932FBEE,2005,0,0.493,4,0.315,1,0.409,0,208.306,0,214.9873,0,124.01,-3.509,yes
