track_id,title,artist_name,release,year,key,key_confidence,time_signature,time_signature_confidence,mode,mode_confidence,end_of_fade_in,start_of_fade_out,energy,duration,danceability,song_hottnesss,tempo,loudness,top100
TRAMMHG128F428890F,Thoughts Of You,Polyrhythm Addicts,Break Glass&,2007,7,0.626,4,1.0,1,0.536,0.125,250.805,0.0,272.16934,0.0,0.345802233965,88.01,-6.061,no
TRAMMXU128F92F303B,Americans,Eddie Izzard,Circle,2000,11,0.205,3,0.624,1,0.205,0.0,208.852,0.0,213.81179,0.0,0.558244178817,66.556,-16.681,no
TRAMMYK128E07936F9,Papa's Got A Brand New Bag,Georgie Fame,20 Beat Classics,2005,10,0.612,4,0.846,0,0.239,0.77,220.653,0.0,224.54812,0.0,0.54795294198,122.543,-9.954,no
TRAMMVL128F422A88A,Living on Video,Lazard,Living on Video (I-Tunes RMX Edition),2006,11,0.132,4,0.671,0,0.361,0.0,173.534,0.0,177.29261,0.0,nan,130.003,-6.356,no
TRAMMAF128F93051B0,Sfm,Basement Jaxx,Rooty,2001,7,0.057,7,1.0,1,0.373,0.322,149.537,0.0,161.85424,0.0,0.595478748247,130.862,-4.665,no
TRAMMZD128F1490F29,Dans Ce Desert,United Future Organization,Bon Voyage,2000,1,0.021,3,0.825,1,0.208,4.203,301.035,0.0,309.91628,0.0,nan,110.033,-10.539,no
TRAMMRT128F9337C0E,Game Over (featuring Jay Dee And Phat Kat),Dabrye,Game Over,2004,11,0.476,4,0.635,0,0.349,0.0,199.34,0.0,199.33995,0.0,nan,108.563,-18.287,no
TRAMMEL128F4227FE6,Sex Verandert Alles,De Mens,Akoestisch,1999,9,0.044,3,1.0,1,0.282,0.305,153.554,0.0,160.26077,0.0,nan,87.232,-7.172,no
TRAMMQJ12903CE3D70,Femme Fatale,Nana Kitade,Bondage,2009,6,0.495,4,0.522,1,0.511,0.171,283.672,0.0,294.53016,0.0,0.360370582712,139.068,-4.954,no
TRAMMMC128F1465A48,Processed World,Adrian Sherwood,Never Trust A Hippy,2003,1,0.368,4,0.373,0,0.536,0.154,293.645,0.0,311.7971,0.0,0.392008771471,154.344,-6.687,no
TRAMMMO128F42B72E2,Jabo's Night Out,Plej,Electronic Music From The Swedish Left Coast,2005,3,0.307,4,0.044,0,0.454,0.16,379.379,0.0,394.34404,0.0,0.493945867849,122.006,-10.814,no
TRAMMXT128F42579C8,Mountain Shifts,O'Death,Broken Hymns_ Limbs and Skin,2008,7,0.482,1,0.0,0,0.462,0.095,232.171,0.0,234.4224,0.0,0.647736021486,111.282,-5.968,no
TRAMMQJ12903CF4BC1,Strange Condition (Inpetto Vocal Mix),Morgan Page,Strange Condition,2010,11,0.751,1,0.986,0,0.578,0.0,456.713,0.0,467.64363,0.0,0.554384121184,85.326,-8.432,no
TRAMMZT128F92DCED0,Drinks Taste Better When They're Free,ElectroVamp,Drinks Taste Better When They're Free,2008,10,0.658,5,1.0,0,0.598,0.276,181.388,0.0,191.21587,0.0,nan,86.672,-4.065,no
TRAMMDM128F425EAA9,Heaven's In New York,Wyclef Jean,CARNIVAL VOL. II Memoirs of an Immigrant,2007,6,0.945,4,0.845,1,0.574,0.0,253.376,0.0,287.50322,0.0,nan,85.964,-6.748,no
TRAMMLW128F428D8BC,Lead Astray,The Duskfall,Frailty and Source,2003,11,0.576,1,0.0,0,0.359,0.386,206.425,0.0,219.08853,0.0,nan,220.102,-4.22,no
